Family,Subfamily,Tribe,Genus,Specific Epithet,Subgenus,Infraspecific Epithet,Scientific Name Authorship,Identification References,Sociality,Sociality Type,Sociality Multiple Types,Sociality Data Accuracy,Sociality References,Cleptoparasites Hosts,Cleptoparasites Hosts References,Buzzing Capacity,Buzzing Capacity Data Accuracy,Buzzing Capacity References,Nesting Position,Nesting Remarks,Nesting Method,Nesting Substrate,Nesting Agreggation,Nesting Data Accuracy,Nesting Artificial,Nesting Population Range,Nesting Population Average,Nesting Brood Cell Types,Nesting References,Intertegular Distance Average,Intertegular Distance Classes,Intertegular Distance Subclasses,Intertegular Distance Females,Intertegular Distance Males,Intertegular Distance Workers,Intertegular Distance References,Uses human made structures
Apidae,Apinae,Meliponini,Trigonisca,vitrifrons,,,"Albuquerque & Camargo, 2007","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,hollow trees,pre-existing cavities,wood,no,genus,no information,no information,no information,no information,"Albuquerque, Patrícia Maia Correia De, and João Maria Franco De Camargo. 2007. “Espécies Novas de Trigonisca Moure (Hymenoptera, Apidae, Apinae)”. Revista Brasileira de Entomologia 51 (2): 160–75. https://doi.org/10.1590/S0085-56262007000200005.",0.3,small (<2.2),0.2-0.6,no information,no information,0.3,"Campbell, Alistair J., Elinor M. Lichtenberg, Luísa G. Carvalheiro, Cristiano Menezes, Rafael C. Borges, Beatriz W. T. Coelho, Madson A. B. Freitas, Tereza C. Giannini, Kamila L. Leão, F. F. de Oliveira, Thiago S. F. Silva, Márcia M. Maués. 2022. ""High bee functional diversity buffers crop pollination services against Amazon deforestation"". Agriculture, Ecosystems & Environment 326, 107777. https://doi.org/10.1016/j.agee.2021.107777 | Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no
Apidae,Apinae,Meliponini,Leurotrigona,gracilis,,,"Pedro & Camargo, 2009","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,no information,no information,no information,above ground,no information,pre-existing cavities,wood,no information,genus,no information,no information,no information,no information,"Pedro, Silvia R.M., and João M.F. Camargo. 2009. “Neotropical Meliponini: The Genus Leurotrigona Moure Two New Species (Hymenoptera: Apidae, Apinae)”. Zootaxa 1983 (1): 23–44. https://doi.org/10.11646/zootaxa.1983.1.2.",0.66,small (<2.2),0.6-1.0,no information,no information,0.66,"Mayes, D.M., Bhatta, C.P., Shi, D., Brown, J.C. and Smith, D.R. 2019. ""Body size influences stingless bee (Hymenoptera: Apidae) communities across a range of deforestation levels in Rondônia, Brazil"". Journal of Insect Science 19(2), p.23.",no
Apidae,Apinae,Meliponini,Trigonisca,variegatifrons,,,"Albuquerque & Camargo, 2007","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood,no,genus,no information,no information,no information,no information,"Michener, Charles Duncan. 2007. The Bees of the World. Baltimore: The Johns Hopkins University Press.",0.68,small (<2.2),0.6-1.0,no information,no information,0.68,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no
Apidae,Xylocopinae,Ceratinini,Ceratina,minima,Ceratinula,,"Friese, 1908","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,diverse,solitary;  semisocial,genus,"Rehan, S. M., S. M. Tierney, and W. T. Wcislo. 2015. “Evidence for Social Nesting in Neotropical Ceratinine Bees”. Insectes Sociaux 62 (4): 465–69. https://doi.org/10.1007/s00040-015-0425-3. | Sakagami, S. F., & Laroca, S. (1971). Observations on the Bionomics of Some Neotropical Xylocopine Bees, with Comparative and Biofaunistic Notes (Hymenoptera, Anthophoridae). ??????????, 18(1), 57-127. | Sless, Trevor, and Sandra Rehan. 2023. “Phylogeny of the Carpenter Bees (Apidae: Xylocopinae) Highlights Repeated Evolution of Sociality”. Biology Letters 19 (8): 20230252. https://doi.org/10.1098/rsbl.2023.0252.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,excavate,no information,no information,genus,no information,no information,no information,no information,"Rocha-Filho, Léo C., Paula C. Montagnana, Thayane N. Araújo, Diego Moure-Oliveira, Danilo Boscolo, and Carlos A. Garófalo. 2022. “Pollen Analysis of Cavity-nesting Bees (Hymenoptera: Anthophila) and Their Food Webs in a City”. Ecological Entomology 47 (2): 146–57. https://doi.org/10.1111/een.13097.",0.7,small (<2.2),0.6-1.0,0.7,no information,no information,measured by César M.N. Teixeira and Antonio J.C. Aguiar,no information
Colletidae,Xeromelissinae,Xeromelissini,Chilicola,megalostigma,Hylaeosoma,,"(Ducke, 1908)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,genus,"Packer, Laurence. 2004. “Taxonomic and Behavioural Notes on Patagonian Xeromelissinae with the Description of a New Species (Hymenoptera: Colletidae)”. Journal of the Kansas Entomological Society 77 (4): 805–20. https://doi.org/10.2317/E28.1.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood,no,genus,no information,no information,no information,no information,"Packer, Laurence. 2004. “Taxonomic and Behavioural Notes on Patagonian Xeromelissinae with the Description of a New Species (Hymenoptera: Colletidae)”. Journal of the Kansas Entomological Society 77 (4): 805–20. https://doi.org/10.2317/E28.1.",0.7,small (<2.2),0.6-1.0,0.7,no information,no information,"measured by Henrique P. Moleiro, Samara Santos, Kelli S. Ramos and Gabriela P. Camacho",no
Apidae,Apinae,Meliponini,Trigonisca,nataliae,,,"(Moure, 1950)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,hollow trees,pre-existing cavities,wood,no,genus,no information,no information,no information,no information,"Albuquerque, Patrícia Maia Correia De, and João Maria Franco De Camargo. 2007. “Espécies Novas de Trigonisca Moure (Hymenoptera, Apidae, Apinae)”. Revista Brasileira de Entomologia 51 (2): 160–75. https://doi.org/10.1590/S0085-56262007000200005.",0.7,small (<2.2),0.6-1.0,no information,no information,0.7,"Campbell, Alistair J., Elinor M. Lichtenberg, Luísa G. Carvalheiro, Cristiano Menezes, Rafael C. Borges, Beatriz W. T. Coelho, Madson A. B. Freitas, Tereza C. Giannini, Kamila L. Leão, F. F. de Oliveira, Thiago S. F. Silva, Márcia M. Maués. 2022. ""High bee functional diversity buffers crop pollination services against Amazon deforestation"". Agriculture, Ecosystems & Environment 326, 107777. https://doi.org/10.1016/j.agee.2021.107777",no
Apidae,Apinae,Meliponini,Trigonisca,unidentata,,,"Albuquerque & Camargo, 2007","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,hollow trees,pre-existing cavities,wood,no,genus,no information,no information,no information,no information,"Albuquerque, Patrícia Maia Correia De, and João Maria Franco De Camargo. 2007. “Espécies Novas de Trigonisca Moure (Hymenoptera, Apidae, Apinae)”. Revista Brasileira de Entomologia 51 (2): 160–75. https://doi.org/10.1590/S0085-56262007000200005.",0.7,small (<2.2),0.6-1.0,no information,no information,0.7,"Campbell, Alistair J., Elinor M. Lichtenberg, Luísa G. Carvalheiro, Cristiano Menezes, Rafael C. Borges, Beatriz W. T. Coelho, Madson A. B. Freitas, Tereza C. Giannini, Kamila L. Leão, F. F. de Oliveira, Thiago S. F. Silva, Márcia M. Maués. 2022. ""High bee functional diversity buffers crop pollination services against Amazon deforestation"". Agriculture, Ecosystems & Environment 326, 107777. https://doi.org/10.1016/j.agee.2021.107777",no
Apidae,Apinae,Meliponini,Trigonisca,pediculana,,,"(Fabricius, 1804)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood,no,genus,no information,no information,no information,no information,"Michener, Charles Duncan. 2007. The Bees of the World. Baltimore: The Johns Hopkins University Press.",0.74,small (<2.2),0.6-1.0,no information,no information,0.74,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no
Apidae,Apinae,Meliponini,Trigonisca,fraissei,,,"(Friese, 1901)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",eusocial,truly eusocial,,species,"Grüter, Christoph. 2020. Stingless Bees: Their Behaviour, Ecology and Evolution. Switzerland: Springer Cham.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood,no,genus,no information,no information,no information,no information,"Michener, Charles Duncan. 2007. The Bees of the World. Baltimore: The Johns Hopkins University Press.",0.77,small (<2.2),0.6-1.0,no information,no information,0.77,"Mayes, D.M., Bhatta, C.P., Shi, D., Brown, J.C. and Smith, D.R. 2019. ""Body size influences stingless bee (Hymenoptera: Apidae) communities across a range of deforestation levels in Rondônia, Brazil"". Journal of Insect Science 19(2), p.23. | Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no
Apidae,Xylocopinae,Ceratinini,Ceratina,fulvitarsis,Ceratinula,,"Friese, 1925","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,diverse,solitary;  semisocial,genus,"Rehan, S. M., S. M. Tierney, and W. T. Wcislo. 2015. “Evidence for Social Nesting in Neotropical Ceratinine Bees”. Insectes Sociaux 62 (4): 465–69. https://doi.org/10.1007/s00040-015-0425-3. | Sakagami, S. F., & Laroca, S. (1971). Observations on the Bionomics of Some Neotropical Xylocopine Bees, with Comparative and Biofaunistic Notes (Hymenoptera, Anthophoridae). ??????????, 18(1), 57-127. | Sless, Trevor, and Sandra Rehan. 2023. “Phylogeny of the Carpenter Bees (Apidae: Xylocopinae) Highlights Repeated Evolution of Sociality”. Biology Letters 19 (8): 20230252. https://doi.org/10.1098/rsbl.2023.0252.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,excavate,no information,no information,genus,no information,no information,no information,no information,"Rocha-Filho, Léo C., Paula C. Montagnana, Thayane N. Araújo, Diego Moure-Oliveira, Danilo Boscolo, and Carlos A. Garófalo. 2022. “Pollen Analysis of Cavity-nesting Bees (Hymenoptera: Anthophila) and Their Food Webs in a City”. Ecological Entomology 47 (2): 146–57. https://doi.org/10.1111/een.13097.",0.8,small (<2.2),0.6-1.0,0.8,no information,no information,"Raiol, Rafael Lobo, Markus Gastauer, Alistair John Campbell, Rafael Cabral Borges, Marcelo Awade, and Tereza Cristina Giannini. 2021. “Specialist Bee Species Are Larger and Less Phylogenetically Distinct Than Generalists in Tropical Plant–Bee Interaction Networks”. Frontiers in Ecology and Evolution 9 (July): 699649. https://doi.org/10.3389/fevo.2021.699649.",no information
