ID,core source,term_localName,class,label,definition,comments,examples,organized_in,issued,status,type,term_iri,flags,iri
1,DWC,family,Taxon,Family,The full scientific name of the family in which the dwc:Taxon is classified.,,"""Apidae""",http://rs.tdwg.org/dwc/terms/Taxon,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/family,simple,http://rs.tdwg.org/dwc/terms/version/family-2023-06-28
2,DWC,subfamily,Taxon,Subfamily,The full scientific name of the subfamily in which the dwc:Taxon is classified.,,"""Apinae""",http://rs.tdwg.org/dwc/terms/Taxon,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/subfamily,simple,http://rs.tdwg.org/dwc/terms/version/subfamily-2023-06-28
3,DWC,tribe,Taxon,Tribe,The full scientific name of the tribe in which the dwc:Taxon is classified.,,"""Meliponini""",http://rs.tdwg.org/dwc/terms/Taxon,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/tribe,simple,http://rs.tdwg.org/dwc/terms/version/tribe-2023-06-28
4,DWC,genus,Taxon,Genus,The full scientific name of the genus in which the dwc:Taxon is classified.,,"""Melipona""",http://rs.tdwg.org/dwc/terms/Taxon,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/genus,simple,http://rs.tdwg.org/dwc/terms/version/genus-2023-06-28
5,DWC,specificEpithet,Taxon,Specific Epithet,The name of the first or species epithet of the dwc:scientificName.,,"""marginata""",http://rs.tdwg.org/dwc/terms/Taxon,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/specificEpithet,simple,http://rs.tdwg.org/dwc/terms/version/specificEpithet-2023-06-28
6,DWC,subgenus,Taxon,Subgenus,The full scientific name of the subgenus in which the dwc:Taxon is classified. Values should include the genus to avoid homonym confusion.,,"""Eomelipona""",http://rs.tdwg.org/dwc/terms/Taxon,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/subgenus,simple,http://rs.tdwg.org/dwc/terms/version/subgenus-2023-06-28
7,DWC,infraspecificEpithet,Taxon,Infraspecific Epithet,"The name of the lowest or terminal infraspecific epithet of the dwc:scientificName, excluding any rank designation.","In botany, name strings in literature and identifications may have multiple infraspecific ranks. According to the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles 6.7 & Art. 24.1), valid names only have two epithets, with the lowest rank being the dwc:infraspecificEpithet. For example: the dwc:infraspecificEpithet in the string `Indigofera charlieriana subsp. sessilis var. scaberrima` is `scaberrima` and the dwc:scientificName is `Indigofera charlieriana var. scaberrima (Schinz) J.B.Gillett`. Use dwc:verbatimIdentification for the full name string used in a dwc:Identification.","""carioca""",http://rs.tdwg.org/dwc/terms/Taxon,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/infraspecificEpithet,simple,http://rs.tdwg.org/dwc/terms/version/infraspecificEpithet-2023-06-28
8,DWC,scientificNameAuthorship,Taxon,Scientific Name Authorship,The authorship information for the dwc:scientificName formatted according to the conventions of the applicable dwc:nomenclaturalCode.,,"Nomenclature, authorship and/or collection reference, e.g.: ""Moure, 1971""",http://rs.tdwg.org/dwc/terms/Taxon,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,simple,http://rs.tdwg.org/dwc/terms/version/scientificNameAuthorship-2023-06-28
9,DWC,identificationReferences,Identification,Identification References,"A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the dwc:Identification.",Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"""Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.""",http://rs.tdwg.org/dwc/terms/Identification,45105,recommended,Property,http://rs.tdwg.org/dwc/terms/identificationReferences,simple,http://rs.tdwg.org/dwc/terms/version/identificationReferences-2023-06-28
10,BBT,sociality,Sociality,Sociality,"The highest level of sociality. Eusocial: long-lived colonies exhibit highly social behavior characterized by morphological differences between castes, reproductive division of labor, and overlap of generations; Non-eusocial: one female or multiple females establishes her nest but they do not have highly social behavior.",The description of the levels of sociality were according to Michener (2007),"""eusocial"" | non-eusocial"" | ""no information""",https://github.com/lgcarvalheiro/BBTD,1,recommended,Property,,extension,
11,BBT,socialityType,Sociality,Sociality Type,"The specific level of sociality. Truly eusocial: long-lived colonies exhibit highly social behavior characterized by morphological differences between castes, reproductive division of labor, and overlap of generations;  Cleptobiotic: truly eusocial but they pillage the nests of other species to steal food; Solitary: one female establishes and maintains her own nest; Communal: multiples females inhabit the same nest but they do not cooperate; Semisocial and Primitively eusocial: or small and short-lived colonies with reproductive division of labor among females; Cleptoparasitic: females lay their eggs in the brood cells built by females of another bee species.",The description of the levels of sociality were according to Michener (2007),"""cleptoparasitic"" | ""solitary""",https://github.com/lgcarvalheiro/BBTD,1,recommended,Property,,extension,
12,BBT,socialityMultipleTypes,Sociality,Sociality Multiple Types,The possible combinations among specific level of sociality as defined in socialityType.,Multiple information about sociality means that the species can demonstrate different types of social organization,"""solitary|communal""",https://github.com/lgcarvalheiro/BBTD,1,recommended,Property,,extension,
13,BBT,socialityDataAccuracy,Sociality,Sociality Data Accuracy,The taxonomic level at which the data was obtained,,"""genus"" | ""species""",https://github.com/lgcarvalheiro/BBTD,1,recommended,Property,,extension,
